id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness,popularity,release_decade,lyrical_depth,emotional_intensity,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.15,0.05,72,2020,0.30,0.60,uplifting|bright|carefree
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.80,0.03,45,2020,0.15,0.30,calm|introspective|ambient
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.30,0.04,58,2000,0.55,0.85,aggressive|dark|powerful
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.85,0.02,31,2020,0.10,0.20,peaceful|dreamy|ambient
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.10,0.06,85,2020,0.20,0.80,pumping|motivational|fierce
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.92,0.02,18,2010,0.05,0.25,ethereal|dreamy|meditative
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.55,0.04,27,1990,0.65,0.40,warm|intimate|smooth
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.65,0.03,41,1980,0.40,0.70,atmospheric|dark|cinematic
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.78,0.03,52,2020,0.10,0.25,calm|steady|minimal
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.12,0.05,63,2010,0.50,0.65,uplifting|warm|carefree
11,Golden Hour,Velvet Tide,r&b,romantic,0.55,92,0.73,0.70,0.45,0.15,0.08,55,2010,0.60,0.72,sensual|warm|intimate
12,Concrete Jungle,Raw Syntax,hip-hop,empowering,0.85,140,0.62,0.84,0.08,0.05,0.72,78,2020,0.85,0.78,gritty|powerful|raw
13,Frozen Lake,Glass Tide,classical,melancholic,0.20,56,0.32,0.22,0.97,0.95,0.03,15,1970,0.05,0.55,sorrowful|ethereal|delicate
14,Neon Carnival,Pulse District,electronic,euphoric,0.95,128,0.88,0.92,0.04,0.70,0.05,82,2020,0.15,0.82,euphoric|electric|wild
15,Dusty Porch,Cedar and Wool,folk,nostalgic,0.33,96,0.58,0.45,0.94,0.40,0.06,22,1970,0.75,0.50,bittersweet|warm|reflective
16,Fuego Lento,Sol Caliente,latin,romantic,0.72,104,0.80,0.87,0.38,0.20,0.10,67,2010,0.45,0.68,passionate|sensual|warm
17,Shatter Point,Iron Circuit,metal,aggressive,0.97,168,0.30,0.45,0.06,0.35,0.08,35,2000,0.50,0.92,aggressive|raw|dark
18,Supernova Funk,Groove Theory,funk,euphoric,0.80,116,0.85,0.91,0.30,0.25,0.06,48,1980,0.35,0.75,groovy|uplifting|electric
